"distance m","value db"
5.251079,4.151
5.253313,1.378
5.253632,0.0
5.254589,3.144
5.256824,0.818
5.260015,2.345
5.260334,4.753
5.262888,0.0
5.267037,2.421
5.267356,0.745
5.268313,2.421
5.268632,3.943
5.26959,1.196
5.269909,0.0
5.270228,2.126
5.270547,0.0
5.273101,2.396
5.27342,4.078
5.274377,3.512
5.274696,0.0
5.293846,1.088
5.294165,2.138
5.297037,5.428
5.29991,2.767
5.300229,0.051
5.304059,3.488
5.306612,0.0
5.312995,3.145
5.317782,2.668
5.318102,1.438
5.31874,2.877
5.319378,0.0
5.325123,2.796
5.326719,0.0
5.329272,3.796
5.330868,3.023
5.331187,0.0
5.33757,3.341
5.339485,0.411
5.339804,3.157
5.340123,0.948
5.344592,2.604
5.346826,0.755
5.348741,2.323
5.34906,0.537
5.349698,1.448
5.350017,0.0
5.350975,1.947
5.351932,3.08
5.354805,1.834
5.355443,3.26
5.356081,2.475
5.3564,0.925
5.358954,1.106
5.359273,2.739
5.361188,1.134
5.361507,0.0
5.362145,2.722
5.362464,4.293
5.365018,1.722
5.365337,0.0
5.365975,1.833
5.36789,4.661
5.370762,3.252
5.371082,0.0
5.37938,1.609
5.379699,0.0
5.380656,1.609
5.38289,0.0
5.384167,2.384
5.387039,1.686
5.387359,0.0
5.391188,2.374
5.392784,0.0
5.395657,1.349
5.396295,0.0
5.396933,2.859
5.397252,4.037
5.397572,2.957
5.397891,0.0
5.398529,3.273
5.401401,0.0
5.403955,1.457
5.404274,2.966
5.404912,0.524
5.411295,1.542
5.412253,3.409
5.412572,4.932
5.416721,0.0
5.417359,2.722
5.420232,2.015
5.420551,0.0
5.422785,2.001
5.423104,0.0
5.425338,2.492
5.425657,3.596
5.428211,1.793
5.42853,0.0
5.446083,2.489
5.447679,0.416
5.453105,3.007
5.4547,0.0
5.459488,3.803
5.463318,0.0
5.47768,3.253
5.477999,4.333
5.480233,0.0
5.482148,2.974
5.482467,5.477
5.484063,4.003
5.484382,2.291
5.484701,0.0
5.490127,1.351
5.490446,3.631
5.490765,4.636
5.493638,4.446
5.493957,3.122
5.496191,0.0
5.499063,3.895
5.499382,5.047
5.501297,3.033
5.501616,1.446
5.502255,0.0
5.503851,2.023
5.50417,4.013
5.505446,4.597
5.506723,3.467
